timestamp,message
1778188880397,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:73"",""message"":""Athena query for akamai validator (id=2d2321da-6869-4afb-885b-465c00edbb7b) executed successfully"",""timestamp"":""2026-05-07 21:21:20,397+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880717,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:109"",""message"":""Record passes special conditions for AppCI CPA"",""timestamp"":""2026-05-07 21:21:20,717+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880717,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:109"",""message"":""Record passes special conditions for AppCI CPA"",""timestamp"":""2026-05-07 21:21:20,717+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880717,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:109"",""message"":""Record passes special conditions for AppCI CPA"",""timestamp"":""2026-05-07 21:21:20,717+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:142"",""message"":""Akamai onboarding & coverage compliance for CPA: PASS"",""timestamp"":""2026-05-07 21:21:20,717+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: get_akamai_onboarding_compliance [15608.88ms] (record_count=1)"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: validate_akamai (validator_type=akamai)"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""validate_akamai:26"",""message"":""Akamai validation PASSED — criteria matched"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: validate_akamai [0.16ms] (validation_result=PASS)"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: build_result (identifier=CPA)"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: build_result [0.09ms] (result_size=478)"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: write_result (identifier=CPA)"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880725,"{""level"":""INFO"",""location"":""write_result:165"",""message"":""Successfully updated results for identifier=CPA, sort_key=CDR-NSS3.4.2 - App01#[{'type': 'akamai', 'criteria': ['akamai']}]"",""timestamp"":""2026-05-07 21:21:20,725+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880725,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: write_result [7.23ms] (status=success)"",""timestamp"":""2026-05-07 21:21:20,725+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880726,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""■ STOP: handler [N/Ams] (final_status=PASS, result_size=478)"",""timestamp"":""2026-05-07 21:21:20,725+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880728,"END RequestId: 4e1dcb24-6c55-5e36-b712-a9536821df61
"
1778188880728,"REPORT RequestId: 4e1dcb24-6c55-5e36-b712-a9536821df61	Duration: 15619.30 ms	Billed Duration: 15620 ms	Memory Size: 2048 MB	Max Memory Used: 105 MB	
"
1778188881898,"START RequestId: d79f009d-e8f1-52bc-81d8-62eaec74a407 Version: $LATEST
"
1778188881899,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""► START: handler (request_id=local)"",""timestamp"":""2026-05-07 21:21:21,898+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188881899,"{""level"":""INFO"",""location"":""extract_lambda_input:32"",""message"":""Parsed SQS message body"",""timestamp"":""2026-05-07 21:21:21,899+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188881899,"{""level"":""INFO"",""location"":""extract_lambda_input:68"",""message"":""Input extracted — identifier='AGS', control='CDR-NSS3.4.2 - App01', validator type='akamai'"",""timestamp"":""2026-05-07 21:21:21,899+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188881899,"{""level"":""INFO"",""location"":""handler:46"",""message"":""Processing validation for AGS - CDR-NSS3.4.2 - App01"",""timestamp"":""2026-05-07 21:21:21,899+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188881899,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: get_akamai_onboarding_compliance (appci=AGS)"",""timestamp"":""2026-05-07 21:21:21,899+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887051,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:73"",""message"":""Athena query for akamai validator (id=11e65ccb-0f20-44ea-ba17-67e29a3297d4) executed successfully"",""timestamp"":""2026-05-07 21:21:27,051+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:142"",""message"":""Akamai onboarding & coverage compliance for AGS: FAIL"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: get_akamai_onboarding_compliance [5286.8ms] (record_count=0)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: validate_akamai (validator_type=akamai)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""validate_akamai:29"",""message"":""Akamai validation FAILED — criteria not met"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: validate_akamai [0.17ms] (validation_result=FAIL)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: build_result (identifier=AGS)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: build_result [0.1ms] (result_size=750)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: write_result (identifier=AGS)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887194,"{""level"":""INFO"",""location"":""write_result:165"",""message"":""Successfully updated results for identifier=AGS, sort_key=CDR-NSS3.4.2 - App01#[{'type': 'akamai', 'criteria': ['akamai']}]"",""timestamp"":""2026-05-07 21:21:27,194+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887194,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: write_result [7.86ms] (status=success)"",""timestamp"":""2026-05-07 21:21:27,194+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887194,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""■ STOP: handler [N/Ams] (final_status=PASS, result_size=750)"",""timestamp"":""2026-05-07 21:21:27,194+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887196,"END RequestId: d79f009d-e8f1-52bc-81d8-62eaec74a407
"
1778188887196,"REPORT RequestId: d79f009d-e8f1-52bc-81d8-62eaec74a407	Duration: 5297.70 ms	Billed Duration: 5298 ms	Memory Size: 2048 MB	Max Memory Used: 105 MB	
"
1778188887642,"START RequestId: 4ec31cc3-ae4b-516d-b326-7eb4aaddea30 Version: $LATEST
"
1778188887643,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""► START: handler (request_id=local)"",""timestamp"":""2026-05-07 21:21:27,643+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188887643,"{""level"":""INFO"",""location"":""extract_lambda_input:32"",""message"":""Parsed SQS message body"",""timestamp"":""2026-05-07 21:21:27,643+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188887643,"{""level"":""INFO"",""location"":""extract_lambda_input:68"",""message"":""Input extracted — identifier='BMB', control='CDR-NSS3.4.2 - App01', validator type='akamai'"",""timestamp"":""2026-05-07 21:21:27,643+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188887643,"{""level"":""INFO"",""location"":""handler:46"",""message"":""Processing validation for BMB - CDR-NSS3.4.2 - App01"",""timestamp"":""2026-05-07 21:21:27,643+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188887644,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: get_akamai_onboarding_compliance (appci=BMB)"",""timestamp"":""2026-05-07 21:21:27,643+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892788,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:73"",""message"":""Athena query for akamai validator (id=77bee5dd-80b9-4c00-ab4c-590038823205) executed successfully"",""timestamp"":""2026-05-07 21:21:32,788+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892926,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:142"",""message"":""Akamai onboarding & coverage compliance for BMB: PASS"",""timestamp"":""2026-05-07 21:21:32,925+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892926,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: get_akamai_onboarding_compliance [5282.15ms] (record_count=1)"",""timestamp"":""2026-05-07 21:21:32,926+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892926,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: validate_akamai (validator_type=akamai)"",""timestamp"":""2026-05-07 21:21:32,926+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892926,"{""level"":""INFO"",""location"":""validate_akamai:26"",""message"":""Akamai validation PASSED — criteria matched"",""timestamp"":""2026-05-07 21:21:32,926+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892926,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: validate_akamai [0.18ms] (validation_result=PASS)"",""timestamp"":""2026-05-07 21:21:32,926+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892926,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: build_result (identifier=BMB)"",""timestamp"":""2026-05-07 21:21:32,926+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892926,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: build_result [0.11ms] (result_size=478)"",""timestamp"":""2026-05-07 21:21:32,926+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892926,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: write_result (identifier=BMB)"",""timestamp"":""2026-05-07 21:21:32,926+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892934,"{""level"":""INFO"",""location"":""write_result:165"",""message"":""Successfully updated results for identifier=BMB, sort_key=CDR-NSS3.4.2 - App01#[{'type': 'akamai', 'criteria': ['akamai']}]"",""timestamp"":""2026-05-07 21:21:32,934+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892934,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: write_result [7.7ms] (status=success)"",""timestamp"":""2026-05-07 21:21:32,934+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892934,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""■ STOP: handler [N/Ams] (final_status=PASS, result_size=478)"",""timestamp"":""2026-05-07 21:21:32,934+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0257-a1940c674a267dfa7fe1ad2d""}
"
1778188892936,"END RequestId: 4ec31cc3-ae4b-516d-b326-7eb4aaddea30
"
1778188892936,"REPORT RequestId: 4ec31cc3-ae4b-516d-b326-7eb4aaddea30	Duration: 5293.08 ms	Billed Duration: 5294 ms	Memory Size: 2048 MB	Max Memory Used: 105 MB	
"
1778188893821,"START RequestId: 8309ae81-edac-59d2-817d-ccf6e922606f Version: $LATEST
"
1778188893822,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""► START: handler (request_id=local)"",""timestamp"":""2026-05-07 21:21:33,822+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188893822,"{""level"":""INFO"",""location"":""extract_lambda_input:32"",""message"":""Parsed SQS message body"",""timestamp"":""2026-05-07 21:21:33,822+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188893822,"{""level"":""INFO"",""location"":""extract_lambda_input:68"",""message"":""Input extracted — identifier='ATG', control='CDR-NSS3.4.2 - App01', validator type='akamai'"",""timestamp"":""2026-05-07 21:21:33,822+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188893823,"{""level"":""INFO"",""location"":""handler:46"",""message"":""Processing validation for ATG - CDR-NSS3.4.2 - App01"",""timestamp"":""2026-05-07 21:21:33,822+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188893823,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: get_akamai_onboarding_compliance (appci=ATG)"",""timestamp"":""2026-05-07 21:21:33,823+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188898954,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:73"",""message"":""Athena query for akamai validator (id=abe86523-6523-44f6-8338-9c27e5bf2db2) executed successfully"",""timestamp"":""2026-05-07 21:21:38,954+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899140,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:142"",""message"":""Akamai onboarding & coverage compliance for ATG: FAIL"",""timestamp"":""2026-05-07 21:21:39,140+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
